SUPERKINGDOM	PHYLUM	CLASS	ORDER	FAMILY	GENUS	SPECIES	DOMAIN	Organism	STRAIN	SEROVAR	SEQUENCING METHOD	SEQUENCING DEPTH	STRAININFO	Culture	SYMBIONT	TYPE	PHYLOGENY	SEQUENCING STATUS	PROJECT STATUS	PHENOTYPE	RELEVANCE	DISEASE	HABITAT	PH	TEMPERATURE	ISOLATION	COUNTRY	GC(%)	AVAILABILITY	GOLDSTAMP	GOLDSTAMP OLD	GREENGENES ID	GCAT ID	TAXON ID	ENTREZ PID	IMG OID	SIZE(kb)	ORFs	CHROMOSOMES	PLASMIDS	DATA	DATABASES	INSTITUTE	FUNDING	PUBLICATION	DATE	CONTACT NAME	CONTACT EMAIL
Archaea	Crenarchaeota	Thermoproteales		Thermoproteaceae	Caldivirga	Caldivirga maquilingensis	ARCHAEAL	Caldivirga maquilingensis	IC-167		ABI			DSM 13496		Genome	CRENARCHAEOTA-THERMOPROTEI	Complete	complete	Hyperthermophile, Heterotroph, Aerobe, Rod-shaped, Nonmotile, Nonsporulating	Biotechnological	None	Aquatic		85	Acidic hot spring in the Philippines	USA	43	Public	Gc00674	Gi01059		001815_GCAT	397948	17421	640196211	2077	1963	1	0	NC_009954	NCBI, Joint Genome Institute	Joint Genome Institute	DOE	Unpublished 	October 5, 2007	House C	chouse@geosc.psu.edu
Bacteria	Actinobacteria	Actinomycetales		Micromonosporaceae	Salinispora	Salinispora arenicola	BACTERIAL	Salinispora arenicola	CNS205		ABI	11.4x				Genome	ACTINOBACTERIA	Complete	complete	Filament-shaped, Sporulating, Motile, Aerobe, Mesophile	Biotechnological, Medical, Cancer treatment	None	Aquatic, Marine, Sediment			Beach sand at a depth of 1 meter from Sweetings Cay in the Bahamas	USA	69.5	Public	Gc00673	Gi01541		001441_GCAT	391037	17109	639857040	5786	4917	1	0	NC_009953	NCBI, Joint Genome Institute	Joint Genome Institute	DOE	Unpublished 	October 5, 2007	Jensen P	pjensen@ucsd.edu
Bacteria	Proteobacteria	Desulfobacterales		Desulfobacteraceae	Desulfococcus	Desulfococcus oleovorans	BACTERIAL	Desulfococcus oleovorans	Hxd3		ABI, 454	12x		DSM 6200		Genome	PROTEOBACTERIA-DELTA	Complete	complete	Sulfate reducer, Alkane degrader, Nonmotile, Nonsporulating, Coccus-shaped, Anaerobe, Mesophile	Biotechnological, Environmental	None	Aquatic, Oil fields			Oil tank	USA	56.1	Public	Gc00672	Gi01334		001746_GCAT	96561	18007	640196200	3944	3265	1	0	NC_009943	NCBI, Joint Genome Institute	Joint Genome Institute	DOE	Unpublished 	October 19, 2007	Richardson P	microbes@cuba.jgi-psf.org
Eukaryota	Ascomycota	Saccharomycetales		Saccharomycetaceae	Kluyveromyces	Kluyveromyces waltii	EUKARYAL	Kluyveromyces waltii	NCYC 2644		ABI	8x				Genome	FUNGI-ASCOMYCOTA	Quality Draft	complete		Evolutionary, FGI	None					USA		Public	Gc00671	Gi00717		002033_GCAT	262981	10734		11000	5230	8	0	AADM010000000	NCBI	Broad Institute		Nature 428, 617-24	April 8, 2004	Kellis, M	manoli@mit.edu
Eukaryota	Apicomplexa	unclassified		Babesiidae	Babesia	Babesia bovis	EUKARYAL	Babesia bovis	T2Bo		ABI	11x				Genome	PROTISTS-APICOMPLEXA	Quality Draft	complete								USA	41.8	Public	Gc00670	Gi02145		002797_GCAT	5865	18731		8200	3671	4		AAXT00000000		TIGR	USDA	PLoS Pathog 3, e148	October 19, 2007	Nene VM	vnene@som.umaryland.edu
Bacteria	Proteobacteria	Rhizobiales		Xanthobacteraceae	Azorhizobium	Azorhizobium caulinodans	BACTERIAL	Azorhizobium caulinodans	ORS 571						Sesbania rostrata	Genome	PROTEOBACTERIA-ALPHA	Complete	complete	Nitrogen fixation, Mesophile	Agricultural	None	Host			Sesbania rostrata	Japan		Public	Gc00669	Gi01986		002615_GCAT	438753	19267		5369	4717	1	0	NC_009937	NCBI	Univ of Tokyo		Unpublished 	October 17, 2007	Oyaizu H	aoyaizu@mail.ecc.u-tokyo.ac.jp
Eukaryota	unclassified	unclassified		Hexamitidae	Giardia	Giardia intestinalis	EUKARYAL	Giardia lamblia (intestinalis)	WB, clone C6		ABI			ATCC 50803		Genome	PROTISTS-DIPLOMONADIDA	Quality Draft	complete								USA	49	Public	Gc00668	Gi00274		001866_GCAT	184922	1439	640281002	11192	13100	5	0	NZ_AACB00000000	NCBI, MBL	Marine Biological Laboratory	NIH-NIAID	Science 317, 1921-6	October 1, 2007	Sogin ML	http://hermes.mbl.edu/labs/Sogin/Pages/PERSONNEL/Mitch.html
Bacteria	Cyanobacteria	unclassified		unclassified	Acaryochloris	Acaryochloris marina	BACTERIAL	Acaryochloris marina	MBIC11017		ABI, 454	6x-ABI, 24x-454				Genome	CYANOBACTERIA	Complete	complete	Photosynthetic, Symbiont, Aerobe, Sphere-shaped, Mesophile, Mesophile	Biotechnological	None	Marine			Colonial ascidian from the Palau Islands	USA		Public	Gc00667	Gi00728		000610_GCAT	329726	12997		6503	6254	1	9	NC_009925	NCBI, TGen	Washington Univ, Arizona State Univ, TGen	NSF	Unpublished 	October 17, 2007	Blankenship RE	Blankenship@asu.edu
Bacteria	Firmicutes	Clostridiales		Clostridiaceae	Alkaliphilus	Alkaliphilus oremlandii	BACTERIAL	Alkaliphilus (Clostridium) oremlandii	OhILAs		ABI, 454	12x				Genome	FIRMICUTES	Complete	incomplete	Anaerobe, Nitrogen fixation, Sporulating, Rod-shaped, Motile, Sporulating, Non-Pathogen, Arsenic metabolizer, Mesophile	Biotechnological, Environmental	None	Aquatic			Ohio River sediment	USA	36	Public	Gc00666	Gi00933		000972_GCAT	350688	16083	638341068	2123	2836	1	0	NC_009922	NCBI, Joint Genome Institute	Joint Genome Institute	DOE	Unpublished 	October 11, 2007	Richardson P	microbes@cuba.jgi-psf.org
Eukaryota	Streptophyta	Vitales		Vitaceae	Vitis	Vitis vinifera	EUKARYAL	Vitis vinifera	PN40024		ABI	8.4x				Genome	PLANTS-STREPTOPHYTA	Quality Draft	incomplete								France		Public	Gc00665	Gi01530		002312_GCAT	29760	18785		475000				CAAP00000000	NCBI, Genoscope	Genoscope, INRA, Univ of Padua, Univ of Milan, Univ of Udine		Nature 449, 463-7	September 27, 2007	Wincker P	pwincker@genoscope.cns.fr
Eukaryota	Chlorophyta	Chlamydomonadales		Chlamydomonadaceae	Chlamydomonas	Chlamydomonas reinhardtii	EUKARYAL	Chlamydomonas reinhardtii	CC-503 cw92 mt+		ABI	10x				Genome	PLANTS-CHLOROPHYTA	Quality Draft	incomplete							Massachusetts in 1945	USA	65	Public	Gc00664	Gi00816		002199_GCAT	3055	12260		100000	15256	17	0	ABCN00000000	NCBI, Joint Genome Institute, Chlamydomonas Center	Joint Genome Institute	DOE, NSF	Science 318, 245-50	October 12, 2007	Grossman A	arthur@andrew2.stanford.edu
Bacteria	Proteobacteria	Alteromonadales		Shewanellaceae	Shewanella	Shewanella halifaxensis	BACTERIAL	Shewanella pealeana	ANG-SQ1		ABI	10x		ATCC 700345		Genome	PROTEOBACTERIA-GAMMA	Complete	complete	Facultative, Psychrotolerant, Motile, Rod-shaped, Mesophile		None	Host			Microbial community colonizing the accessory nidamental gland of the squid Loligo pealei	USA	44	Public	Gc00663	Gi01355		001772_GCAT	3055	17415	639857031	5174	4241	1	0	NC_009901	NCBI, Joint Genome Institute	Joint Genome Institute	DOE	Unpublished 	October 4, 2007	Richardson P	microbes@cuba.jgi-psf.org
Bacteria	Proteobacteria	Rickettsiales		Rickettsiaceae	Rickettsia	Rickettsia massiliae	BACTERIAL	Rickettsia massiliae	MTU5					ATCC VR-1376		Genome	PROTEOBACTERIA-ALPHA	Complete	complete	Non-Pathogen, Aerobe, Nonmotile, Nonsporulating, Obligate parasite, Mesophile	Medical	None	Host			Rhipicephalus turanicus ticks collected near Marseille France	France	32.5	Public	Gc00662	Gi00812		001423_GCAT	416276	18271		1360	968	1	1	NC_009900	NCBI	CNRS	CNRG	Unpublished 	October 4, 2007	Raoult D	didier.raoult@medecine.univ-mrs.fr
Bacteria	Proteobacteria	Rickettsiales		Rickettsiaceae	Rickettsia	Rickettsia bellii	BACTERIAL	Rickettsia bellii	OSU 85-389		ABI				Dermacentor variabilis adult female tick	Genome	PROTEOBACTERIA-ALPHA	Complete	complete	Pathogen, Aerobe, Nonmotile, Nonsporulating, Obligate parasite, Mesophile	Medical, Human Pathogen	Epidemic typhus	Host			Isolated in Vero cell culture at 34 C by Karl Poetter and Chip Pretzman; spaghetti forms seen	USA	31.6	Public	Gc00661	Gi01647		001420_GCAT	391896	17237	640753044	1528	1476	1	0	NC_009883	NCBI	Univ of Iowa		Unpublished 	October 2, 2007		
Bacteria	Proteobacteria	Rickettsiales		Rickettsiaceae	Rickettsia	Rickettsia canadensis	BACTERIAL	Rickettsia canadensis	McKiel		ABI				Tick	Genome	PROTEOBACTERIA-ALPHA	Complete	complete	Pathogen, Aerobe, Nonmotile, Nonsporulating, Obligate parasite, Mesophile	Medical, Human Pathogen	Epidemic typhus	Host			Ticks in Canada	USA	31	Public	Gc00660	Gi01536		001421_GCAT	293613	12952	640753045	1159	1093	1	0	NC_009879	NCBI	Univ of Iowa		Unpublished 	October 1, 2007		
Bacteria	Proteobacteria	Rhodobacterales		Rhodobacteraceae	Dinoroseobacter	Dinoroseobacter shibae	BACTERIAL	Dinoroseobacter shibae	DFL-12		ABI	12x		DSM 16493, NCIMB 14021		Genome	PROTEOBACTERIA-ALPHA	Complete	complete	Aerobe, Anoxygenic, Phototroph, Motile, Mesophile		None	Aquatic		33	Marine dinoflagellates from the Bay of Tokyo	USA	65	Public	Gc00659	Gi01335		001747_GCAT	398580	17417	639857026	3789	3577	1	5	NC_009952	NCBI, Joint Genome Institute	Joint Genome Institute	DOE	Unpublished 	October 5, 2007	Wagner-Dobler I	Irene.Wagner-Doebler@helmholtz-hzi.de
Bacteria	Actinobacteria	Actinomycetales		Frankiaceae	Frankia	Frankia sp. EAN1pec	BACTERIAL	Frankia sp.	Mbj2, EAN1pec		ABI				Plants	Genome	ACTINOBACTERIA	Complete	complete	Aerobe, Mesophile, Chemoorganotroph, Nitrogen fixation, Non-Pathogen, Plant symbiont, Mesophile	Biotechnological	None	Soil			Kettering Research Laboratory in Ohio by M Lalonde in 1978	USA	70.9	Public	Gc00658	Gi00260		001091_GCAT	298653	8982	638341096	9035	7191	1	0	NC_009921	NCBI, Joint Genome Institute, FrankiaGenomes	Joint Genome Institute	DOE	Unpublished 	October 10, 2007	Richardson P	microbes@cuba.jgi-psf.org
Bacteria	Proteobacteria	Campylobacterales		Campylobacteraceae	Arcobacter	Arcobacter butzleri	BACTERIAL	Arcobacter butzleri	RM4018		ABI					Genome	PROTEOBACTERIA-EPSILON	Complete	complete	Pathogen, Aerobe, Motile, Nonsporulating, Spiral-shaped, Mesophile	Medical, Human Pathogen	Gastroenteritis, Bacteremia	Host, Aquatic, Marine			Human patient with gastroenteritis	USA		Public	Gc00657			003099_GCAT	367737	16319	640753004	2341	2259	1	0	NC_009850	NCBI	Agencourt Bioscience, ARS-USDA	USDA	Unpublished 	September 27, 2007	Richardson P	microbes@cuba.jgi-psf.org
Bacteria	Firmicutes	Bacillales		Bacillaceae	Bacillus	Bacillus pumilus	BACTERIAL	Bacillus pumilus	SAFR-032							Genome	FIRMICUTES	Complete	complete	Sporulating, Radiation resistant, Pathogen, Rod-shaped, Motile, Aerobe, Mesophile	Medical	None	Soil			Spacecraft Assembly Facility at NASA Jet Propulsion Laboratory	USA		Public	Gc00656	Gi00716		000741_GCAT	315750	20391		3704	3681	1	0	NC_009848	NCBI, BCM-HGSC	BCM-HGSC	NSF	PLoS ONE 2, e928	September 26, 2007	Weinstock G	gwstock@bcm.tmc.edu
Eukaryota	Chordata	Primates		Hominidae	Homo	Homo sapiens	EUKARYAL	Homo sapiens	JC Venter		ABI	7.5x				Genome	CHORDATA-PRIMATES	Quality Draft	complete	Caucasian, Male, Mesophile, Aerobe	Medical				36	Sperm and white blood cells of a single Human individual	USA		Public	Gc00655	Gi02160		002812_GCAT	9606	19621		2782357		24	0	ABBA01000000	NCBI, Ensembl	J Craig Venter Institute		PLoS Biology 5, e254	September 21, 2007	Levy S	slevy@jcvi.org
Eukaryota	Ascomycota	Hypocreales		Nectriaceae	Gibberella	Gibberella zeae	EUKARYAL	Fusarium (Gibberella) graminearum (zeae)	PH-1		ABI	10x		NRRL 31084		Genome	FUNGI-ASCOMYCOTA	Quality Draft	complete	Pathogen, Mycotoxin producer, Mesophile	Agricultural, Plant Pathogen, FGI	Head blight					USA		Public	Gc00654	Gi00263		002010_GCAT	229533	13839	640281006	36000		4	0	AACM02000000	NCBI, Broad Institute	Broad Institute, IGGR	NRI	Science 317, 1400-2	September 7, 2007	Webmaster	annotation-info@genome.wi.mit.edu
Eukaryota	Nematoda	Spirurida		Onchocercidae	Brugia	Brugia malayi	EUKARYAL	Brugia malayi	NIAID/TRS		ABI					Genome	NEMATODES	Quality Draft	complete	Mesophile							USA		Public	Gc00653	Gi00102		002123_GCAT	6279	10729		90000	11500	6	0	AAQA00000000	NCBI, TIGR, NematodeNet, TIGR	TIGR, Univ of Pittsburgh	NIH-NIAID	Science 317, 1756 - 1760	September 21, 2007	Ghedin E	GhedinE@dom.pitt.edu
Bacteria	Proteobacteria	Campylobacterales		Campylobacteraceae	Campylobacter	Campylobacter jejuni	BACTERIAL	Campylobacter jejuni jejuni	81116		ABI			NCTC 11828		Genome	PROTEOBACTERIA-EPSILON	Complete	complete	Motile, Spiral-shaped, Pathogen, Food poisoning, Mesophile	Medical, Human Pathogen	Food poisoning	Wastewater			Waterborne outbreak in 1982	United Kingdom	30	Public	Gc00652	Gi01671		000823_GCAT	407148	17953	640753013	1628	1626	1	0	NC_009839	NCBI	BBSRC Institute of Food Research		J. Bacteriology Epub	September 20, 2007		
Bacteria	Cyanobacteria	Prochlorales		Prochlorococcaceae	Prochlorococcus	Prochlorococcus marinus	BACTERIAL	Prochlorococcus marinus	MIT 9215		ABI					Genome	CYANOBACTERIA	Complete	complete	Nonmotile, Carbon cycle, Mesophile	Environmental	None	Marine				USA		Public	Gc00651	Gi01896		001369_GCAT	93060	18633	640753041	1738	1983	1	0	NC_009840	NCBI	Joint Genome Institute	DOE	Unpublished 	September 20, 2007	Richardson P	microbes@cuba.jgi-psf.org
Bacteria	Chloroflexi	Chloroflexales		Chloroflexaceae	Roseiflexus	Roseiflexus castenholzii	BACTERIAL	Roseiflexus castenholzii	HLO8, DSM 13941		ABI	10x		DSM 13941		Genome	CHLOROFLEXI	Complete	complete	Filament-shaped, Photosynthetic, Thermophile, Facultative, Motile, Photoautotroph	Biotechnological	None	Marine, Hot spring		50	Hot spring microbial mat	USA	60.7	Public	Gc00650	Gi00962		001429_GCAT	120962	13462	640753047	5723	4330	1	0	NC_009767	NCBI, Joint Genome Institute	Joint Genome Institute	DOE	Unpublished 	August 13, 2007	Richardson P	microbes@cuba.jgi-psf.org
Bacteria	Thermotogae	Thermotogales		Thermotogaceae	Thermotoga	Thermotoga lettingae	BACTERIAL	Thermotoga lettingae	TMOT		ABI					Genome	THERMOTOGAE	Complete	complete	Rod-shaped, Thermophile, Anaerobe, Heterotroph, Motile, Nonsporulating, Methanol degrading	Evolutionary, Biotechnological	None	Aquatic		65	Methanol-degrading, sulfate-reducing bioreactor	USA	38.7	Public	Gc00649	Gi01044		001609_GCAT	416591	15644		2135	2040	1	0	NC_009828	NCBI, Joint Genome Institute	Joint Genome Institute	DOE	Unpublished 	September 18, 2007	Richardson P	microbes@cuba.jgi-psf.org
Eukaryota	Ascomycota	Saccharomycetales		Saccharomycetaceae	Vanderwaltozyma	Vanderwaltozyma polyspora	EUKARYAL	Vanderwaltozyma polyspora	DSM 70294		ABI	7.8x		DSM 70294		Genome	FUNGI-ASCOMYCOTA	Quality Draft	complete	Mesophile	Evolutionary						Ireland	33	Public	Gc00648	Gi02041		002688_GCAT	436907	19237		14661	5367			NZ_AAZN00000000	NCBI	Trinity College		PNAS 104, 8397-8402	August 17, 2007	Wolfe KH	http://wolfe.gen.tcd.ie/
Bacteria	Proteobacteria	Enterobacteriales		Enterobacteriaceae	Serratia	Serratia proteamaculans	BACTERIAL	Serratia proteamaculans	568		ABI	11.7x				Genome	PROTEOBACTERIA-GAMMA	Complete	complete	Facultative, Motile, Rod-shaped, Aerobe, Pathogen, Mesophile	Medical, Human Pathogen, Environmental, Bioremediation	Pneumonia	Host, Soil				USA	55	Public	Gc00647	Gi01353		001770_GCAT	399741	17459	640753048	5448	4891	1	1	NC_009832	NCBI, Joint Genome Institute	Joint Genome Institute	DOE	Unpublished 	September 18, 2007	Richardson P	microbes@cuba.jgi-psf.org
Bacteria	Proteobacteria	Alteromonadales		Shewanellaceae	Shewanella	Shewanella sediminis	BACTERIAL	Shewanella sediminis	HAW-EB3T		ABI			NCIMB 14036, DSM 17055		Genome	PROTEOBACTERIA-GAMMA	Complete	complete	Facultative, Psychrophile, Motile, Rod-shaped, Nonsporulating	Biotechnological, Degrades RDX	None	Marine		10	Sediment at depth of 215m from an unexploded-ordinance-dumping site at Halifax	USA	46	Public	Gc00646	Gi01356		001773_GCAT	425104	18789	640753050	5517	4497	1	0	NC_009831	NCBI, Joint Genome Institute	Joint Genome Institute	DOE	Unpublished 	September 18, 2007	Richardson P	microbes@cuba.jgi-psf.org
Eukaryota	Cnidaria	Actiniaria		Edwardsiidae	Nematostella	Nematostella vectensis	EUKARYAL	Nematostella vectensis	CH2 x CH6		ABI	7.8x				Genome	CNIDARIA	Quality Draft	complete	Mesophile	Model organism						USA	40.6	Public	Gc00645	Gi00773		002244_GCAT	45351	12581		297398				NZ_ABAV00000000	NCBI, Joint Genome Institute	Joint Genome Institute	DOE	Science 317, 86-94	August 22, 2007	Rokhsar D	http://mcb.berkeley.edu/faculty/GEN/rokhsard.html
Bacteria	Proteobacteria	Campylobacterales		Campylobacteraceae	Campylobacter	Campylobacter concisus	BACTERIAL	Campylobacter concisus	13826		ABI					Genome	PROTEOBACTERIA-EPSILON	Complete	complete	Motile, Spiral-shaped, Pathogen, Food poisoning, Nonsporulating, Mesophile	Medical, Human Pathogen	Gingivitis, Periodontitis, Periodontosis, Gastroenteritis	Host, Wastewater			Feces of a patient with bloody diarrhea in Denmark	USA	39.3	Public	Gc00644	Gi01266		000829_GCAT	360104	17159	640753009	2052	1929	1	2	NC_009802	NCBI, TIGR	TIGR	NIH-NIAID	Unpublished 	September 12, 2007	Nelson KE	http://www.tigr.org/~kenelson/
Bacteria	Firmicutes	Lactobacillales		Streptococcaceae	Streptococcus	Streptococcus gordonii	BACTERIAL	Streptococcus gordonii	Challis CH1					ATCC 35105, NCTC7868		Genome	FIRMICUTES	Complete	complete	Pathogen, Nonmotile, Nonsporulating, Facultative, Coccus-shaped, Mesophile	Medical, Human Pathogen	Dental plaque, Endocarditis, Periodontal infection	Human oral microflora, Host		37		USA	42	Public	Gc00643	Gi00608		001537_GCAT	467705	66	640753055	2196	2051	1	0	NC_009785	NCBI	TIGR	NIH-NIDCR	Unpublished 	September 11, 2007	Gill SR	srgill@tigr.org
Bacteria	Proteobacteria	Enterobacteriales		Enterobacteriaceae	Citrobacter	Citrobacter koseri	BACTERIAL	Citrobacter koseri	CDC 4225-83		ABI	8x		ATCC BAA-895, SGSC4696		Genome	PROTEOBACTERIA-GAMMA	Complete	incomplete	Facultative, Motile, Pathogen, Mesophile	Medical, Human Pathogen, Animal Pathogen	Bacteremia, Meningoencephalitis, Neonatal meningitis, Brain abscesses	Soil, Aquatic, Food, Intestinal microflora, Host			1983 in Maryland where it caused neonatal meningitis	USA		Public	Gc00642	Gi00708		000962_GCAT	290338	12716	640753015	4720	5003	1	2	NC_009792	NCBI, Washington Univ	Washington Univ	NIH-NIAID	Unpublished 	September 11, 2007	Clifton S	sclifton@watson.wustl.edu
Bacteria	Proteobacteria	Enterobacteriales		Enterobacteriaceae	Escherichia	Escherichia coli	BACTERIAL	Escherichia coli O139:H28	E24377A (ETEC)	O139:H28	ABI					Genome	PROTEOBACTERIA-GAMMA	complete	complete	Pathogen, Enterotoxigenic, Rod-shaped, Motile, Facultative, Nonsporulating, Mesophile	Medical, Human Pathogen	Diarrhea	Host, Human intestinal microflora		37		USA	50	Public	Gc00641	Gi00940		001030_GCAT	331111	13960	640753024	4979	4755	1	6	NC_009801	NCBI	TIGR		Unpublished 	September 11, 2007	Ravel J	http://www.tigr.org/faculty/Ravel_Jacques/index.shtml
Bacteria	Proteobacteria	Enterobacteriales		Enterobacteriaceae	Escherichia	Escherichia coli	BACTERIAL	Escherichia coli O9	HS	O9	ABI					Genome	PROTEOBACTERIA-GAMMA	complete	complete	Rod-shaped, Motile, Facultative, Pathogen, Nonsporulating, Mesophile	Medical, Human Pathogen	Diarrhea	Host, Human intestinal microflora			Walter Reed Army Institute of Research in 1978	USA	50	Public	Gc00640	Gi01140		001037_GCAT	331112	13959	640753025	4643	4384	1	0	NC_009800	NCBI	TIGR	NIH-NIAID	Unpublished 	September 10, 2007	Ravel J	http://www.tigr.org/faculty/Ravel_Jacques/index.shtml
